# JHSAA Electronic Scorebook — Game Export v2.4
# Deliberately CORRUPT fixture. The scorer's TOTALS row claims 58 points and a
# Q3 of 20 for the home side; the player rows add to 53 and the quarters add to
# 53. Nothing here is malformed — it parses cleanly and looks like a result.
# It exists so the review queue is demonstrated rather than asserted: an import
# that disagrees with its own source's arithmetic must land as needs_review.
GAME,gameId,date,sport,level,venue,attendance,status
GAME,JHSAA-BB-2027-09901,2027-01-19,Boys Basketball,Varsity,Norview HS Gymnasium,640,Final
TEAM,role,school,schoolCode,conference,final
TEAM,home,Norview,NOR,Cascade Valley League,53
TEAM,away,Sage Summit,SAG,Copper Lake Athletic Conference,49
LINESCORE,teamCode,Q1,Q2,Q3,Q4,OT,FINAL
LINESCORE,NOR,14,11,20,13,,53
LINESCORE,SAG,10,15,12,12,,49
PLAYER,teamCode,no,name,yr,gs,min,fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts
PLAYER,NOR,5,"Rasmussen, Tobias",12,1,30,8-16,2-5,2-2,1,5,6,3,2,1,2,2,20
PLAYER,NOR,14,"Achebe, Nnamdi",11,1,28,6-12,1-3,1-2,2,4,6,4,1,0,3,2,14
PLAYER,NOR,23,"Lindqvist, Sven",12,1,26,4-9,0-2,1-1,3,3,6,2,0,2,1,3,9
PLAYER,NOR,8,"Moreau, Julien",10,1,22,3-7,1-2,1-2,0,2,2,3,1,0,2,1,8
PLAYER,NOR,31,"Batbayar, Otgon",11,0,14,1-4,0-1,0-0,1,2,3,1,0,1,1,2,2
TOTALS,NOR,,,,,120,22-48,4-13,5-7,7,16,23,13,4,4,9,10,58
PLAYER,SAG,7,"Kowalski, Marek",12,1,31,7-15,3-7,1-2,1,4,5,4,2,0,3,2,18
PLAYER,SAG,11,"Diallo, Ousmane",11,1,29,5-11,1-4,2-2,2,5,7,2,1,1,2,3,13
PLAYER,SAG,20,"Halvorsen, Nils",12,1,27,4-10,0-1,2-3,1,3,4,3,0,1,1,2,10
PLAYER,SAG,4,"Reyes, Santiago",10,1,20,3-8,1-3,1-1,0,2,2,2,1,0,2,1,8
TOTALS,SAG,,,,,107,19-44,5-15,6-8,4,14,18,11,4,2,8,8,49
